"Sr. No.","State Name","Hon'ble Member Of Parliament","Constituency","Allocated Amount ( ₹ )"
"324","The Dadra And Nagar Haveli And Daman And Diu","PATEL UMESHBHAI BABUBHAI","DAMAN and DIU","9,80,00,000"
"325","West Bengal","PATHAN YUSUF","BAHARAMPUR","9,80,00,000"
"326","Assam","PHANI BHUSAN CHOUDHURY","BARPETA","9,80,00,000"
"327","Maharashtra","Piyush Vedprakash Goyal","MUMBAI NORTH","9,80,00,000"
"328","Andhra Pradesh","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","9,80,00,000"
"329","Gujarat","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","9,80,00,000"
"330","Assam","Pradan Baruah","LAKHIMPUR","9,80,00,000"
"331","Bihar","Pradeep Kumar Singh","ARARIA","9,80,00,000"
"332","Odisha","PRADEEP PUROHIT","BARGARH","9,80,00,000"
"333","Assam","Pradyut Bordoloi","NOWGONG","9,80,00,000"
"334","Karnataka","Pralhad Venkatesh Joshi","DHARWAD","9,80,00,000"
"335","Maharashtra","PRANITI SUSHILKUMAR SHINDE","SOLAPUR(SC)","9,80,00,000"
"336","West Bengal","Prasun Banerjee","HOWRAH","9,80,00,000"
"337","Odisha","Pratap Chandra Sarangi","BALASORE","9,80,64,254.11"
"338","Maharashtra","Prataprao Jadhav","BULDHANA","9,80,00,000"
"339","West Bengal","Pratima Mondal","JOYNAGAR(SC)","9,80,00,000"
"340","Delhi","Praveen Khandelwal","CHANDINI CHOWK","9,84,70,276"
"341","Uttar Pradesh","PRAVEEN PATEL","PHULPUR","10,25,59,884.09"
"342","Uttar Pradesh","PRIYA SAROJ","MACHHLISHAHR(SC)","9,80,00,000"
"343","Kerala","Priyanka Gandhi Vadra","WAYANAD","7,35,00,000"
"344","Karnataka","PRIYANKA SATISH JARKIHOLI","CHIKKODI","9,80,00,000"
"345","West Bengal","Prof Sougata Ray","DUM DUM","9,80,00,000"
"346","Uttar Pradesh","Prof SP Singh Baghel","AGRA(SC)","9,80,00,000"
"347","Uttar Pradesh","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","9,80,00,000"
"348","Andhra Pradesh","Putta Mahesh Kumar","ELURU","9,80,00,000"
"349","Uttar Pradesh","R.K. CHAUDHARY","MOHANLALGANJ(SC)","9,80,00,000"
"350","Odisha","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","9,80,64,617.11"
"351","West Bengal","RACHNA BANERJEE","HOOGHLY","9,80,00,000"
"352","Bihar","Radha Mohan Singh","PURVI CHAMPARAN","9,80,00,000"
"353","Karnataka","RADHAKRISHNA","GULBARGA(SC)","9,80,00,000"
"354","Chhattisgarh","RADHE SHYAM RATHIYA","RAIGARH(ST)","9,80,00,000"
"355","Uttar Pradesh","RAHUL GANDHI","RAE BARELI","9,80,00,000"
"356","Rajasthan","Rahul Kaswan","CHURU","9,80,00,000"
"357","Madhya Pradesh","RAHUL SINGH LODHI","DAMOH","11,40,58,785.37"
"358","Bihar","RAJ BHUSHAN CHOUDHARY","MUZAFFARPUR","9,80,00,000"
"359","Rajasthan","RAJ KUMAR ROAT","BANSWARA(ST)","9,80,00,000"
"360","Bihar","RAJA RAM SINGH","KARAKAT","9,80,00,000"
"361","Maharashtra","RAJABHAU","NASHIK","10,38,78,682.11"
"362","Himachal Pradesh","RAJEEV BHARDWAJ","KANGRA","13,03,88,967.11"
"363","Uttar Pradesh","RAJEEV RAI","GHOSI","9,80,00,000"
"364","Bihar","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","9,80,00,000"
"365","Bihar","RAJESH VERMA","KHAGARIA","9,80,00,000"
"366","Gujarat","Rajeshbhai Naranbhai Chudasama","JUNAGADH","9,80,00,000"
"367","Bihar","Rajiv Pratap Rudy","SARAN","9,80,00,000"
"368","Bihar","Rajiv Ranjan (Lalan) Singh","MUNGER","9,80,00,000"
"369","Uttar Pradesh","Rajkumar Chahar","FATEHPUR SIKRI","9,80,00,000"
"370","Uttar Pradesh","Rajnath Singh","LUCKNOW","10,58,08,797.11"
"371","Gujarat","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","9,80,00,000"
"372","West Bengal","Raju Bista","DARJEELING","9,80,00,000"
"373","Uttar Pradesh","RAKESH RATHOR","SITAPUR","9,80,00,000"
"374","Assam","RAKIBUL HUSSAIN","DHUBRI","9,80,00,000"
"375","Uttar Pradesh","RAM PRASAD CHAUDHARY","BASTI","15,51,76,957.11"
"376","Uttar Pradesh","Ram Shiromani","SHRAWASTI","9,80,00,000"
"377","Telangana","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","9,80,00,000"
"378","Uttar Pradesh","RAMASHANKAR RAJBHAR","SALEMPUR","11,10,56,927.07"
"379","Uttar Pradesh","RAMBHUAL NISHAD","SULTANPUR","10,22,31,957.11"
"380","Uttar Pradesh","RAMESH AWASTHI","KANPUR","9,80,00,000"
"381","Karnataka","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","9,80,00,000"
"382","Bihar","Ramprit Mandal","JHANJHARPUR","9,80,00,000"
"383","Delhi","Ramvir Singh Bidhuri","SOUTH DELHI","9,85,59,100"
"384","Assam","RANJIT DUTTA","Sonitpur","9,80,00,000"
"385","Haryana","Rao Inderjit Singh","GURGAON","9,80,00,000"
"386","Rajasthan","Rao Rajendra Singh","JAIPUR RURAL","9,80,00,000"
"387","Bihar","Ravi Shankar Prasad","PATNA SAHIB","9,80,00,000"
"388","Maharashtra","RAVINDRA DATTARAM WAIKAR","MUMBAI NORTH WEST","9,80,00,000"
"389","Uttar Pradesh","Ravindra Shyamnarayan Alias Ravi Kishan Shukla","GORAKHPUR","9,80,00,000"
"390","Maharashtra","Ravindra Vasantrao Chavan","NANDED","9,80,00,000"
"391","Mizoram","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","9,80,00,000"
"392","Tamil Nadu","ROBERT BRUCE C","TIRUNELVELI","9,80,00,000"
"393","Madhya Pradesh","Rodmal Nagar","RAJGARH","9,80,00,000"
"394","Chhattisgarh","ROOP KUMARI CHOUDHARY","MAHASAMUND","10,40,35,414"
"395","Uttar Pradesh","RUCHI VIRA","MORADABAD","9,80,00,000"
"396","Odisha","RUDRA NARAYAN PANY","DHENKANAL","10,60,13,957.11"
"397","Nagaland","S SUPONGMEREN JAMIR","NAGALAND","9,80,00,000"
"398","Tamil Nadu","S Venkatesan","MADURAI","9,80,00,000"
"399","Tamil Nadu","S. Jagathrakshakan","ARAKKONAM","9,80,00,000"
"400","Tamil Nadu","SACHITHANANTHAM R","DINDIGUL","9,80,00,000"
"401","Karnataka","SAGAR ESHWAR KHANDRE","BIDAR","9,80,00,000"
"402","Meghalaya","SALENG A SANGMA","TURA","9,80,00,000"
"403","Odisha","SAMBIT PATRA","PURI","9,80,00,000"
"404","Uttar Pradesh","SANATAN PANDEY","BALLIA","13,14,20,041.4"
"405","Maharashtra","SANJAY DINA PATIL","MUMBAI NORTH EAST","9,80,00,000"
"406","Maharashtra","Sanjay Haribhau Jadhav","PARBHANI","9,80,00,000"
"407","Bihar","Sanjay Jaiswal","PASCHIM CHAMPARAN","9,80,00,000"
"408","Telangana","Sanjay Kumar Bandi","KARIMNAGAR","12,37,75,317.11"
"409","Jharkhand","Sanjay Seth","RANCHI","9,80,64,357.11"
"410","Maharashtra","Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","13,66,40,423"
"411","Rajasthan","SANJNA JATAV","BHARATPUR(SC)","9,80,00,000"
"412","Chhattisgarh","Santosh Pandey","RAJNANDGAON","9,80,00,000"
"413","Odisha","Saptagiri Sankar Ulaka","KORAPUT(ST)","22,05,00,000"
"414","Punjab","SARABJEET SINGH KHALSA","FARIDKOT(SC)","10,18,50,348.15"
"415","Tamil Nadu","Sasikanth Senthil","TIRUVALLUR(SC)","12,25,00,000"
"416","Haryana","SATPAL BRAHAMCHARI","SONEPAT","9,80,00,000"
"417","West Bengal","Saumitra khan","BISHNUPUR(SC)","9,80,00,000"
"418","Madhya Pradesh","SAVITRI THAKUR","DHAR(ST)","9,80,00,000"
"419","West Bengal","SAYANI GHOSH","JADAVPUR","9,80,00,000"
"420","Haryana","SELJA","SIRSA(SC)","9,80,00,000"
"421","Tamil Nadu","SELVAGANAPATHI T M","SALEM","9,80,00,000"
"422","Tamil Nadu","SELVARAJ V","NAGAPATTINAM(SC)","9,80,00,000"
"423","Kerala","SHAFI PARAMBIL","VADAKARA","9,80,00,000"
"424","Bihar","SHAMBHAVI","SAMASTIPUR(SC)","9,80,00,000"
