"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"2654","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","19-Aug-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133693","3,00,000"
"2655","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","JANPAD PANCHAYAT THIKRI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","03-Jan-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/137265","3,00,000"
"2656","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","JANPAD PANCHAYAT THIKRI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","08-Jul-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/137265","2,00,000"
"2657","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","CEO PATI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","15-Jan-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/133910","1,20,000"
"2658","Madhya Pradesh","Construction of community centers and community halls","JANAPAD PANCHAYAT BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","29-Oct-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/137266","6,00,000"
"2659","Madhya Pradesh","Construction of community centers and community halls","JANAPAD PANCHAYAT BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","02-Feb-2026","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/137266","4,00,000"
"2660","West Bengal","Installing tube-wells and borewells","ANUSKA ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","06-Dec-2024","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/141442","2,19,263"
"2661","West Bengal","Installing tube-wells and borewells","MS R M CONSTRUCTION","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","01-Feb-2025","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/141452","2,20,585"
"2662","Tamil Nadu","Construction of bus-sheds or bus-stops","R SELVARAJ","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","16-May-2025","NILGIRIS(SC)","Payment Success","WS/MP740/2025-2026/140335","5,00,000"
"2663","West Bengal","Installing tube-wells and borewells","SHILA RANI CONSTRUCTION","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","27-Dec-2024","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/141443","2,21,695"
"2664","West Bengal","Installing tube-wells and borewells","MS JANA ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","16-Dec-2024","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/141446","2,21,654"
"2665","West Bengal","Installing tube-wells and borewells","MS TUSHAR ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","13-Dec-2024","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/141451","2,21,769"
"2666","Tamil Nadu","Installing community drinking water plants","SIVAKUMAR K","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","01-Jul-2025","VIRUDHUNAGAR","Payment Success","WS/MP747/2025-2026/136699","6,00,000"
"2667","West Bengal","Construction of community centers and community halls","SANDIP BAIDYA","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","05-Jun-2025","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/136911","3,68,236"
"2668","West Bengal","Construction of community centers and community halls","SANDIP BAIDYA","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","22-Aug-2025","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/136911","7,45,208"
"2669","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","GRAM PANCHAYAT GAMDI PURV","DOHAD(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","30-May-2025","DAHOD(ST)","Payment Success","WS/MP577/2024-2025/140760","2,49,000"
"2670","Gujarat","Construction of public irrigation facilities","GRAM PANCHAYAT GAMDI PURV","DOHAD(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","15-Aug-2025","DAHOD(ST)","Payment Success","WS/MP577/2024-2025/140757","2,44,000"
"2671","Nagaland","Construction of shelters for animals","R Imsentemjen","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","S SUPONGMEREN JAMIR","16-Nov-2024","NAGALAND","Payment Success","WS/MP18391/2024-2025/140324","12,00,000"
"2672","Nagaland","Construction of shelters for animals","R Imsentemjen","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","S SUPONGMEREN JAMIR","12-Feb-2025","NAGALAND","Payment Success","WS/MP18391/2024-2025/140324","10,00,000"
"2673","Nagaland","Construction of footpaths and pedestrian ways","K Wati Imchen","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","S SUPONGMEREN JAMIR","08-Nov-2024","NAGALAND","Payment Success","WS/MP18391/2024-2025/140300","1,00,000"
"2674","Nagaland","Construction of footpaths and pedestrian ways","K Wati Imchen","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","S SUPONGMEREN JAMIR","18-Nov-2024","NAGALAND","Payment Success","WS/MP18391/2024-2025/140300","1,00,000"
"2675","Chhattisgarh","Construction of community centers and community halls","SARPANCH SACHIV GRAM PANCHAYAT ANJANI","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","29-Nov-2024","KORBA","Payment Success","WS/MP429/2024-2025/140544","2,00,000"
"2676","Chhattisgarh","Construction of common work sheds/ common covered sitting area","SARPANCH GRAM PANCHAYAT NAWAGAON","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","11-Nov-2024","KORBA","Payment Success","WS/MP429/2024-2025/140684","1,50,000"
"2677","Chhattisgarh","Construction of common work sheds/ common covered sitting area","SARPANCH GRAM PANCHAYAT NAWAGAON","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","12-Dec-2025","KORBA","Payment Success","WS/MP429/2024-2025/140684","49,711"
"2678","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","03-Jan-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137322","8,81,224"
"2679","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","05-Jun-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137322","2,95,590"
"2680","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","13-Dec-2024","DEORIA","Payment Success","WS/MP18211/2024-2025/137310","6,25,518"
"2681","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","15-Aug-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137310","2,10,040"
"2682","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","10-Jan-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137321","8,81,460"
"2683","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","05-Jun-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137321","2,95,590"
"2684","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","03-Jan-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137324","8,77,802"
"2685","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","05-Jun-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137324","2,96,416"
"2686","Punjab","Fitting of Sitting RCC Benches in Public Places","SGP Khukhrana","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","22-Apr-2025","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137617","1,50,000"
"2687","Punjab","Development of public parks","MS Manuke Brick Ind","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","20-Jan-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137618","14,200"
"2688","Punjab","Development of public parks","lucky Interlock Tiles","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","20-Jan-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137618","57,350"
"2689","Punjab","Development of public parks","SAWAN TRADING CO","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","20-Jan-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137618","34,200"
"2690","Punjab","Development of public parks","Harbans Singh","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","20-Jan-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137618","1,65,630"
"2691","Punjab","Development of public parks","Lovepreet Singh","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","20-Jan-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137618","43,820"
"2692","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","14-Aug-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138918","86,003"
"2693","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","31-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138935","1,50,000"
"2694","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","20-Jul-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138935","86,003"
"2695","West Bengal","Street lights","LAKSHMINARAYAN ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","05-Jun-2025","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/136915","1,65,750"
"2696","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","ABUL KALAM KAYAL","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","28-Apr-2025","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/140045","2,49,867"
"2697","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","D H ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","26-Mar-2025","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/140046","2,99,271"
"2698","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","MS HAZRA COSTRUCTION","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","03-Mar-2025","MATHURAPUR(SC)","Payment Success","WS/MP18253/2024-2025/140049","2,47,769"
"2699","Tamil Nadu","Construction of community centers and community halls","V NATHAN","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","04-Apr-2025","VIRUDHUNAGAR","Payment Success","WS/MP747/2024-2025/136681","20,36,727"
"2700","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","PANJA ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","19-Feb-2026","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/138272","2,89,305"
"2701","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","SANDHYA ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","07-Feb-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/138452","1,49,635"
"2702","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","t n enterprise","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","23-Apr-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/138587","2,99,908"
"2703","Chhattisgarh","Construction of buildings for community cultural activities","Sarpanch Sachiv Gram Panchayat Salhekota","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","21-Nov-2024","KORBA","Payment Success","WS/MP429/2024-2025/140543","1,20,000"
"2704","Chhattisgarh","Construction of buildings for community cultural activities","Sarpanch Sachiv Gram Panchayat Salhekota","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","21-May-2025","KORBA","Payment Success","WS/MP429/2024-2025/140543","1,79,112"
"2705","Chhattisgarh","Construction of common work sheds/ common covered sitting area","SAR AND SAC GRAM PANCHAYAT JOGISAR","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","21-Nov-2024","KORBA","Payment Success","WS/MP429/2024-2025/140548","80,000"
"2706","Chhattisgarh","Construction of culverts and bridges","SAR AND SAC GRAM PANCHAYAT PANDRIPANI","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","30-Sep-2024","KORBA","Payment Success","WS/MP429/2024-2025/140550","6,75,000"
"2707","Chhattisgarh","Construction of culverts and bridges","SAR AND SAC GRAM PANCHAYAT PANDRIPANI","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","19-Nov-2024","KORBA","Payment Success","WS/MP429/2024-2025/140550","2,25,000"
"2708","Chhattisgarh","Construction of common work sheds/ common covered sitting area","SAR AND SAC GRAM PANCHAYAT SEMRA","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","30-Oct-2024","KORBA","Payment Success","WS/MP429/2024-2025/140553","80,000"
"2709","Chhattisgarh","Construction of community centers and community halls","GRAM PANCHAYAT AMARPUR J P PENDRA","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","28-Oct-2024","KORBA","Payment Success","WS/MP429/2024-2025/140677","3,75,000"
"2710","Chhattisgarh","Construction of community centers and community halls","Sarpanch Sachiv Gram Panchayat Podi","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","16-Jan-2025","KORBA","Payment Success","WS/MP429/2024-2025/140539","2,00,000"
"2711","Chhattisgarh","Construction of community centers and community halls","Sarpanch Sachiv Gram Panchayat Podi","Gaurela Pendra Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","28-Nov-2025","KORBA","Payment Success","WS/MP429/2024-2025/140539","3,00,000"
"2712","Himachal Pradesh","Development of playground","GP Shalin","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Kangana Ranaut","19-Jul-2025","MANDI","Payment Success","WS/MP18328/2024-2025/138238","1,89,200"
"2713","Himachal Pradesh","Development of playground","GP Shalin","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Kangana Ranaut","27-Nov-2025","MANDI","Payment Success","WS/MP18328/2024-2025/138238","2,74,540"
"2714","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","Khushal Chand","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Kangana Ranaut","08-May-2025","MANDI","Payment Success","WS/MP18328/2024-2025/138239","8,64,315"
"2715","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","Khushal Chand","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Kangana Ranaut","17-Jun-2025","MANDI","Payment Success","WS/MP18328/2024-2025/138239","6,07,511"
"2716","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","Khushal Chand","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Kangana Ranaut","21-Aug-2025","MANDI","Payment Success","WS/MP18328/2024-2025/138239","4,18,830"
"2717","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","10-Jan-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137312","7,44,580"
"2718","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","05-Jun-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137312","2,47,800"
"2719","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","03-Jan-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137325","8,81,698"
"2720","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","P S ASSOCIATE","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","05-Jun-2025","DEORIA","Payment Success","WS/MP18211/2024-2025/137325","2,85,442"
"2721","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","JAI SINGH","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","16-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138100","3,75,000"
"2722","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","JAI SINGH","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","06-Mar-2026","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138100","53,922"
"2723","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","PAPAIAH DAMPETLA","Y.S.R.(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","03-Apr-2025","KADAPA","Payment Success","WS/MP526/2024-2025/140440","4,76,064"
"2724","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","PAPAIAH DAMPETLA","Y.S.R.(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","03-Apr-2025","KADAPA","Payment Success","WS/MP526/2024-2025/140442","4,00,000"
"2725","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","manohar saini","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","08-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138068","3,900"
"2726","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","DCS CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","13-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/138068","2,07,804"
"2727","Sikkim","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Philip Thapa","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Indra Hang Subba","18-Feb-2025","SIKKIM","Payment Success","WS/MP013/2024-2025/137610","10,00,000"
"2728","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","MAA MANASHA BUILDERS","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","22-Aug-2025","KRISHNANAGAR","Payment Success","WS/MP823/2024-2025/139554","11,47,122"
"2729","West Bengal","Establishing public ground water recharging facilities","KAJEM ENTERPRISE","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","08-Jul-2025","KRISHNANAGAR","Payment Success","WS/MP823/2025-2026/139969","72,859"
"2730","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","GURDHIYAN SINGH","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","04-Nov-2025","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/140034","26,420"
"2731","Punjab","Construction of community centers and community halls","GUPTA BUILDING MATERIAL","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","18-Feb-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137615","76,200"
"2732","Punjab","Construction of community centers and community halls","GUPTA BUILDING MATERIAL","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","18-Feb-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137615","28,170"
"2733","Punjab","Construction of community centers and community halls","KAMBO TRADING","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","18-Feb-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137615","15,000"
"2734","Punjab","Construction of community centers and community halls","MAHLA AUTO STORE","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","18-Feb-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137615","13,219"
"2735","Punjab","Construction of community centers and community halls","Gurlab Singh","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","18-Feb-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137615","99,236"
"2736","Punjab","Construction of community centers and community halls","Manthan Trading Co","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","18-Feb-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137615","15,718"
"2737","Punjab","Construction of community centers and community halls","Mani UPVC Window and Doors","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","18-Feb-2026","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137615","11,947"
"2738","Punjab","Street lights","SGP Khukhrana","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","22-Apr-2025","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137616","1,50,000"
"2739","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","31-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138920","1,50,000"
"2740","Nagaland","Purchase of ambulances (Four, three and two wheelers)","NEO MOTORS","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","S SUPONGMEREN JAMIR","10-Oct-2024","NAGALAND","Payment Success","WS/MP18391/2024-2025/140271","1,69,12,380"
"2741","Nagaland","Providing drains and gutters for public drainage","ZAMOK JAMIR","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","S SUPONGMEREN JAMIR","19-Nov-2024","NAGALAND","Payment Success","WS/MP18391/2024-2025/140310","75,000"
"2742","West Bengal","Construction of rooms and halls in school and colleges","SUN SHINE CONSTRUCTION","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","29-Jul-2025","ULUBERIA","Payment Success","WS/MP829/2024-2025/139363","2,13,891"
"2743","West Bengal","Construction of boundary walls of existing public and community buildings","MS N ENTERPRISE","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","14-Jan-2025","ULUBERIA","Payment Success","WS/MP829/2024-2025/139362","2,57,728"
"2744","West Bengal","Construction of boundary walls of existing public and community buildings","MS N ENTERPRISE","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","03-Mar-2025","ULUBERIA","Payment Success","WS/MP829/2024-2025/139362","2,42,272"
"2745","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","I S ENTERPRISE","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","26-Mar-2025","ULUBERIA","Payment Success","WS/MP829/2024-2025/139366","4,99,183"
"2746","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","GRAM PANCHAYAT ABHANA  JP DAMOH","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","01-Oct-2024","DAMOH","Payment Success","WS/MP18101/2024-2025/139569","3,00,000"
"2747","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","GRAM PANCHAYAT ABHANA  JP DAMOH","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","09-Sep-2025","DAMOH","Payment Success","WS/MP18101/2024-2025/139569","2,00,000"
"2748","West Bengal","Lighting of public spaces","NATIONAL ENTERPRISE","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","17-Jan-2025","ULUBERIA","Payment Success","WS/MP829/2024-2025/141023","1,49,712"
"2749","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","20-Jul-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138920","86,003"
"2750","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","31-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138934","1,50,000"
"2751","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","20-Jul-2025","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138934","86,003"
"2752","Madhya Pradesh","Construction of community centers and community halls","JANPAD PANCHAYAT RAJPUR","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","03-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/133912","6,00,000"
"2753","Punjab","Installing community drinking water plants","SHREE BALAJI ENTERPRISES","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","18-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/137638","84,500"
"2754","Madhya Pradesh","Purchase of hospital equipment","MP STATE  AGRO  IND DEV CO LTD BARWANI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","31-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/138916","1,50,000"
