"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"2333","Punjab","Providing drains and gutters for public drainage","KHOKER LAND SURVEY AGENCY","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","08-Jan-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/136624","17,700"
"2334","Punjab","Providing drains and gutters for public drainage","JASBIR SINGH AND SONS","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","10-Jan-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/136624","5,500"
"2335","Punjab","Providing drains and gutters for public drainage","Executive Engineer Panchayati Raj Rupnagar   Division Ropar","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","18-Sep-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/136624","16,56,200"
"2336","Punjab","Providing drains and gutters for public drainage","Executive Engineer Panchayati Raj Rupnagar   Division Ropar","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","30-Jan-2026","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/136624","3,20,600"
"2337","Punjab","Construction of community centers and community halls","M S KAUSHAL BROTHERS BKO","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","14-Jul-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/141029","42,000"
"2338","Punjab","Construction of community centers and community halls","DARSHAN SINGH","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","14-Jul-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/141029","55,766"
"2339","Punjab","Construction of community centers and community halls","DARSHAN SINGH","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","14-Jul-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/141029","50,032"
"2340","Punjab","Construction of community centers and community halls","DARSHAN SINGH","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","14-Jul-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/141029","50,032"
"2341","Punjab","Construction of community centers and community halls","DARSHAN SINGH","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","14-Jul-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/141029","25,016"
"2342","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","NISHU ENTERPRISES","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","08-May-2025","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/135877","2,59,296"
"2343","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Siddhi Associates","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","18-Jun-2025","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136688","7,28,528"
"2344","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Yashika Construction Co","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","26-Sep-2024","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136689","7,38,372"
"2345","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Yashika Construction Co","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","09-May-2025","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136689","2,58,210"
"2346","Bihar","Construction of community centers and community halls","ASSISTANT ENGINEER RAMGARH","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","SUDHAKAR SINGH","19-Nov-2025","BUXAR","Payment Success","WS/MP18032/2024-2025/137014","3,68,347"
"2347","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Yashika Construction Co","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","08-Nov-2024","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136655","7,36,733"
"2348","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Yashika Construction Co","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","09-May-2025","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136655","2,58,486"
"2349","Uttar Pradesh","Lighting of public spaces","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","CHHOTELAL","13-Nov-2025","ROBERTSGANJ(SC)","Payment Success","WS/MP18236/2024-2025/139447","65,432"
"2350","Tamil Nadu","Construction of water tanks","RAJU MARIYAPPAN","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","14-Jan-2026","DINDIGUL","Payment Success","WS/MP18176/2024-2025/139947","16,52,052"
"2351","Tamil Nadu","Lighting of public spaces","MSV Constructions","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","29-Jul-2025","DINDIGUL","Payment Success","WS/MP18176/2024-2025/140385","4,99,500"
"2352","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","HAZI LN ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","17-Jun-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/137230","5,99,262"
"2353","Uttar Pradesh","Lighting of public spaces","BAGHEL ENTERPRISES","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","CHHOTELAL","08-Sep-2025","ROBERTSGANJ(SC)","Payment Success","WS/MP18236/2025-2026/139389","1,90,000"
"2354","Uttar Pradesh","Lighting of public spaces","UP STATE AGRO SONBHADRA","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","CHHOTELAL","15-Feb-2025","ROBERTSGANJ(SC)","Payment Success","WS/MP18236/2024-2025/139430","1,94,568"
"2355","Karnataka","Construction of buildings for community cultural activities","NEELAPPA G BADIGER","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Pralhad Venkatesh Joshi","05-Mar-2026","DHARWAD","Payment In-Progress","WS/	 MP620/2025-2026/133191","8,50,909"
"2356","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","13-Sep-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135160","5,56,337"
"2357","Punjab","Development of public parks","Ms S and S Building Material LLP Dasuya","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","9,000"
"2358","Bihar","Construction of buildings for crèches and anganwadies","Assistant Engineer Rajpur","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","SUDHAKAR SINGH","09-Jan-2026","BUXAR","Payment Success","WS/MP18032/2025-2026/134031","4,87,094"
"2359","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","Assistant Engineer Dumraon","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","SUDHAKAR SINGH","26-Nov-2024","BUXAR","Payment Success","WS/MP18032/2024-2025/134024","14,97,484"
"2360","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","Assistant Engineer Dumraon","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","SUDHAKAR SINGH","26-Nov-2024","BUXAR","Payment Success","WS/MP18032/2024-2025/134023","14,96,484"
"2361","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","Assistant Engineer Dumraon","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","SUDHAKAR SINGH","26-Nov-2024","BUXAR","Payment Success","WS/MP18032/2024-2025/134022","14,96,846"
"2362","Bihar","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","ATIFICAL LIMBS MANUFACTURING CORPORATION OF INDIA","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","SUDHAKAR SINGH","05-Feb-2025","BUXAR","Payment Success","WS/MP18032/2024-2025/136943","1,80,000"
"2363","Chhattisgarh","Purchase of IT systems, including hardware and software for educational purposes","Bagalamukhi Enterprises Private Limited","SURGUJA(Collector Surguja_IDA)","CHINTAMANI MAHARAJ","23-Jan-2025","SARGUJA(ST)","Payment Success","WS/MP18354/2024-2025/138490","5,00,000"
"2364","Chhattisgarh","Purchase of IT systems, including hardware and software for educational purposes","Bagalamukhi Enterprises Private Limited","SURGUJA(Collector Surguja_IDA)","CHINTAMANI MAHARAJ","04-Feb-2025","SARGUJA(ST)","Payment Success","WS/MP18354/2024-2025/138490","4,99,500"
"2365","West Bengal","Street lights","SABIBUR ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","04-Aug-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/136226","3,49,801"
"2366","West Bengal","Street lights","SABIBUR ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","04-Aug-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2025-2026/136227","3,49,801"
"2367","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","SHIRIN ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","12-Mar-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/138441","1,90,783"
"2368","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","SHYAMALI ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","08-May-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/138447","2,03,187"
"2369","West Bengal","Providing drains and gutters for public drainage","t m enterprise","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","24-Apr-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/138575","2,99,237"
"2370","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","S D ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","26-Dec-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/138676","3,49,548"
"2371","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","Matadi Marble And Tiles","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","06-May-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/139234","4,97,996"
"2372","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","ROY ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","09-Oct-2025","DIAMOND HARBOUR","Payment Success","WS/MP423/2024-2025/139240","4,99,350"
"2373","Punjab","Construction of community centers and community halls","BHAGAL TRADING CO","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","14-Jul-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/141029","66,300"
"2374","Punjab","Construction of community centers and community halls","DARSHAN SINGH","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","19-Aug-2025","ANANDPUR SAHIB","Payment Success","WS/MP18311/2024-2025/141029","50,020"
"2375","West Bengal","Street lights","JEET BRICKS","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","21-Feb-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/134463","4,81,037"
"2376","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","ARUP KUMAR MONDAL","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","07-May-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/135208","3,55,898"
"2377","Tamil Nadu","Lighting of public spaces","GOLDEN ENGINEERING CORPORATION","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K Subbarayan","08-Jul-2025","TIRUPPUR","Payment Success","WS/MP745/2025-2026/138565","5,09,737"
"2378","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","THANGAMANI S","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K Subbarayan","03-Jul-2025","TIRUPPUR","Payment Success","WS/MP745/2025-2026/138574","15,01,451"
"2379","West Bengal","Construction of boundary walls of existing public and community buildings","LUCKY CONSTRUCTION","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","12-Aug-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/139945","37,20,542"
"2380","West Bengal","Street lights","ARIJIT SEN","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","20-Mar-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/134461","4,83,060"
"2381","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","SK AJAHAR","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","30-May-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/135222","4,04,328"
