"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"31","Normal/Others","WS/MP18032/2024-2025/137732-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Construction of community Hall in Mahadalit Tola","SUDHAKAR SINGH","BUXAR","07-Jan-2026","Images","N/A","7,89,476"
"32","Normal/Others","WS/MP18173/2024-2025/137925-Construction of community centers and community halls","Tamil Nadu","VILLUPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA)","Construction of Fair Price Shop at Appampattu village in Konai Panchayat","THARANIVENTHAN M S","ARANI","25-Nov-2025","Images","N/A","13,52,339"
"33","Normal/Others","WS/MP18173/2024-2025/137929-Construction of community centers and community halls","Tamil Nadu","VILLUPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA)","Construction of Fair Price Shop at Melarangunam  Panchayat","THARANIVENTHAN M S","ARANI","11-Feb-2026","N/A","N/A","13,58,916"
"34","Normal/Others","WS/MP18161/2024-2025/138069-Construction of community centers and community halls","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Samudayik bhavan Bairwa mohalla mein chardiwari may gate Nirman karya gram Nagal Rupa work agency GP Nagal Rupa","SANJNA JATAV","BHARATPUR(SC)","19-Feb-2026","Images","N/A","4,99,545"
"35","Normal/Others","WS/MP18173/2024-2025/138502-Construction of community centers and community halls","Tamil Nadu","VILLUPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA)","Construction of Waiting Shed at Nanalmedu Village in Vengandur Panchayat","THARANIVENTHAN M S","ARANI","16-Jun-2025","Images","N/A","5,99,480"
"36","Normal/Others","WS/MP745/2025-2026/138566-Construction of community centers and community halls","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of New Ration Shop building at ward no.20 Ramanathapuram 3rd street(32BB003PN) - Tiruppur corporation","K Subbarayan","TIRUPPUR","11-Feb-2026","Images","N/A","13,45,965"
"37","Normal/Others","WS/MP745/2025-2026/138569-Construction of community centers and community halls","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of Ration shop Building at ward no.1 Priyanka nagar - Tiruppur corporation","K Subbarayan","TIRUPPUR","11-Feb-2026","Images","N/A","13,50,000"
"38","Normal/Others","WS/MP761/2024-2025/138982-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of community hall near sree Bhaktha Anjaneya Swamy temple","Arvind Dharmapuri","NIZAMABAD","20-Jan-2026","N/A","N/A","4,00,000"
"39","Normal/Others","WS/MP761/2024-2025/138984-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of community hall in Vishwabrahmana Wada","Arvind Dharmapuri","NIZAMABAD","19-Aug-2025","N/A","N/A","4,00,000"
"40","Normal/Others","WS/MP761/2024-2025/138985-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall near Abhayanjaneya Swamy temple in Laxmi Priya Nagar","Arvind Dharmapuri","NIZAMABAD","18-Jul-2025","N/A","N/A","4,00,000"
"41","Normal/Others","WS/MP829/2024-2025/139364-Construction of community centers and community halls","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Construction of Community Hall at Parbakshi to be maintained by Amta II Panchayat Samity","Smt Sajda Ahmed","ULUBERIA","06-Feb-2026","Images","N/A","4,90,498"
"42","Normal/Others","WS/MP740/2025-2026/140342-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Construction of PD Shop Building in Kempanaickenpalayam Town Panchayat(Ward No. 3)","Andimuthu Raja","NILGIRIS(SC)","28-Nov-2025","Images","N/A","13,00,000"
"43","Normal/Others","WS/MP429/2024-2025/140539-Construction of community centers and community halls","Chhattisgarh","Gaurela Pendra Marwahi(Collector GPM_IDA)","Samudayik Bhawan construction at Village Dadhiya, Gram Panchayat - Pondi, Vikas Khand - Marwahi.","Jyotsna Charandas Mahant","KORBA","19-Jan-2026","Images","N/A","5,00,000"
"44","Normal/Others","WS/MP423/2024-2025/140565-Construction of community centers and community halls","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","block jaynagar ke antargat panchayat dodwar ward 12 gram bhairav nagar ram mandir se devlal ji ke ghar tk jaane wali road men pcc sadak","Ramprit Mandal","JHANJHARPUR","09-Oct-2025","N/A","N/A","11,94,844"
"45","Normal/Others","WS/MP18183/2024-2025/140692-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","New PDS building work in Pudukudi panchayat, Kamachipuram, Boothalur","MURASOLI S","THANJAVUR","09-Jan-2025","Images","N/A","13,49,637"
"46","Normal/Others","WS/MP18183/2025-2026/140746-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Construction of New PDS Building  Perumal Koil Street, Pattukottai City,ward no 19","MURASOLI S","THANJAVUR","04-Aug-2025","N/A","N/A","19,65,000"
"47","Normal/Others","WS/MP18183/2024-2025/140747-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Construction of New PDS Building at Public Land, Kalaignar Nagar, Vilar Panchayat","MURASOLI S","THANJAVUR","23-Aug-2025","Images","N/A","13,09,024"
